epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,185.693,1.1973,1.31998,1.39258,0.67411,0.46559,0.46945,0.28804,1.98414,3.06358,2.06513,0.0299474,0.00998246,0.0299474,0.00998246,0.0299474,0.00998246,0.0299474,0.00998246
2,367.456,1.25407,1.41455,1.41738,0.56914,0.51297,0.52015,0.33865,1.81623,2.46113,1.83159,0.0299899,0.00999662,0.0299899,0.00999662,0.0299899,0.00999662,0.0299899,0.00999662
3,546.757,1.19909,1.28737,1.38307,0.61632,0.57699,0.55458,0.35999,1.74809,2.23583,1.77073,0.0299594,0.00998648,0.0299594,0.00998648,0.0299594,0.00998648,0.0299594,0.00998648
4,725.953,1.17174,1.21735,1.3584,0.61959,0.6065,0.58953,0.39763,1.69537,1.51229,1.76299,0.0299088,0.0099696,0.0299088,0.0099696,0.0299088,0.0099696,0.0299088,0.0099696
5,904.842,1.13604,1.1581,1.33552,0.64412,0.64292,0.6029,0.42863,1.54652,1.67353,1.60357,0.029838,0.009946,0.029838,0.009946,0.029838,0.009946,0.029838,0.009946
6,1090.81,1.11695,1.12318,1.32852,0.66534,0.64276,0.62666,0.44902,1.42452,1.4425,1.48642,0.0297472,0.00991572,0.0297472,0.00991572,0.0297472,0.00991572,0.0297472,0.00991572
7,1272.21,1.09603,1.06415,1.30949,0.65426,0.62534,0.62579,0.44631,1.52562,1.6345,1.59676,0.0296364,0.00987878,0.0296364,0.00987878,0.0296364,0.00987878,0.0296364,0.00987878
8,1450.65,1.07839,1.03581,1.3025,0.66065,0.63499,0.60862,0.42118,1.48899,1.62793,1.56273,0.0295058,0.00983526,0.0295058,0.00983526,0.0295058,0.00983526,0.0295058,0.00983526
9,1630.17,1.05523,1.00488,1.2877,0.6681,0.667,0.63996,0.45815,1.51447,1.29971,1.60793,0.0293556,0.00978519,0.0293556,0.00978519,0.0293556,0.00978519,0.0293556,0.00978519
10,1811.31,1.04028,0.97783,1.27111,0.64433,0.63179,0.5898,0.45375,1.41868,1.72792,1.53418,0.029186,0.00972866,0.029186,0.00972866,0.029186,0.00972866,0.029186,0.00972866
11,1990.91,1.02323,0.95664,1.26477,0.65588,0.70882,0.67124,0.486,1.43243,1.25086,1.49997,0.0289972,0.00966574,0.0289972,0.00966574,0.0289972,0.00966574,0.0289972,0.00966574
12,2170.71,1.01494,0.93544,1.26418,0.64837,0.66254,0.62697,0.45796,1.43821,1.39605,1.5006,0.0287895,0.00959651,0.0287895,0.00959651,0.0287895,0.00959651,0.0287895,0.00959651
13,2352.25,0.99881,0.91633,1.24856,0.71891,0.66275,0.6641,0.48586,1.38663,1.18014,1.45498,0.0285632,0.00952107,0.0285632,0.00952107,0.0285632,0.00952107,0.0285632,0.00952107
14,2556.04,0.99149,0.90829,1.24828,0.64839,0.67139,0.64137,0.45429,1.40716,1.32619,1.45706,0.0283186,0.00943953,0.0283186,0.00943953,0.0283186,0.00943953,0.0283186,0.00943953
15,2754.49,0.98269,0.88727,1.2361,0.76882,0.65785,0.67903,0.49266,1.37033,1.1731,1.4234,0.028056,0.00935199,0.028056,0.00935199,0.028056,0.00935199,0.028056,0.00935199
16,2973.37,0.96374,0.8659,1.22153,0.70115,0.67751,0.65843,0.48223,1.42438,1.31832,1.49649,0.0277757,0.00925857,0.0277757,0.00925857,0.0277757,0.00925857,0.0277757,0.00925857
17,3186.85,0.97222,0.86014,1.23224,0.69488,0.66519,0.6567,0.48322,1.41545,1.31971,1.52509,0.0274782,0.00915941,0.0274782,0.00915941,0.0274782,0.00915941,0.0274782,0.00915941
18,3402.31,0.94594,0.83657,1.21387,0.69741,0.68223,0.66615,0.49951,1.34664,1.22667,1.46398,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
19,3612.9,0.94259,0.8239,1.21621,0.69803,0.68582,0.66665,0.49179,1.33711,1.19971,1.41751,0.0268332,0.00894439,0.0268332,0.00894439,0.0268332,0.00894439,0.0268332,0.00894439
20,3827.21,0.93203,0.817,1.20822,0.73319,0.6713,0.66153,0.49002,1.38876,1.26259,1.50162,0.0264865,0.00882882,0.0264865,0.00882882,0.0264865,0.00882882,0.0264865,0.00882882
21,4039.99,0.9307,0.8065,1.2066,0.72314,0.68051,0.67099,0.49426,1.29649,1.19253,1.38058,0.0261243,0.00870809,0.0261243,0.00870809,0.0261243,0.00870809,0.0261243,0.00870809
22,4255.07,0.91476,0.79258,1.19749,0.67403,0.66515,0.65991,0.48656,1.34421,1.13989,1.45346,0.0257471,0.00858237,0.0257471,0.00858237,0.0257471,0.00858237,0.0257471,0.00858237
23,4468.96,0.91259,0.77981,1.19134,0.71686,0.66324,0.66729,0.48342,1.38757,1.22752,1.49009,0.0253555,0.00845182,0.0253555,0.00845182,0.0253555,0.00845182,0.0253555,0.00845182
